"pool_name","pool_slug","round","telegram","binance_email","amount","chat_id"
"Collins, MacGyver and Sauer","sean61",1,"constantin_champlin","Melany.Berge29@gmail.com","0.00000001","lDqqVdEh2o"
"Collins, MacGyver and Sauer","sean61",1,"jace.abbott","Faye15@hotmail.com","0.00000001","AuKAXDRl37"
"Collins, MacGyver and Sauer","sean61",1,"antoinette41","Macy_Reynolds80@hotmail.com","0.00000001","9hnGv1afks"
"Collins, MacGyver and Sauer","sean61",1,"roma_boehm97","Amari19@gmail.com","0.00000001","GAA5vEoB5G"
"Collins, MacGyver and Sauer","sean61",1,"bethel.oreilly61","Coby_Tillman5@hotmail.com","0.00000001","u7EMLdbsGP"
"Collins, MacGyver and Sauer","sean61",1,"keanu.franey73","Hanna62@gmail.com","0.00000001","v6MgF3Cccw"
"Collins, MacGyver and Sauer","sean61",1,"andrew_senger-gerlach","Joseph.Powlowski4@gmail.com","0.00000001","5guuMG0j6m"
"Collins, MacGyver and Sauer","sean61",1,"quincy.krajcik2","Deion70@yahoo.com","0.00000001","3s3zC5wmZO"
"Collins, MacGyver and Sauer","sean61",1,"catherine97","Susan.Stokes79@yahoo.com","0.00000001","v-gUHBDth9"
"Collins, MacGyver and Sauer","sean61",1,"gage_ullrich1","Pat.Ernser71@yahoo.com","0.00000001","qpMpGmdSzl"
